topico corrida_base corrida_1 corrida_2 corrida_3 corrida_4 corrida_5
1 0.3468552370766701 0.7167924938134774 0.7251045419167166 0.7684621335288395 0.5430842175066077 0.7065997316123871 
134 0.33627597493643385 0.45153877146627863 0.47239067366802745 0.6877319293667365 0.3826326764137489 0.4583386817239723 
187 0.22852750387187049 0.5152629847143804 0.6844214253040691 0.40908498192474085 0.3981175781313842 0.4208772683938097 
215 0.14331955284950165 0.682340067340067 0.7196216129549466 0.7783164983164981 0.6782980285707559 0.845953072526602 
221 0.1274073921189593 0.6968666472164925 0.7600485712371339 0.42124959228887626 0.5768436605498448 0.8390218386554815 
25 0.19712980973891223 0.6944825302202352 0.4219851203753221 0.6032323232323229 0.7433563473563473 0.6915508787199485 
259 0.37449367079810825 0.40003423204269806 0.5469380866047533 0.49483375017906445 0.4160903463651533 0.48523191537893523 
289 0.6308133636976982 0.5470685835292568 0.7190889346167197 0.5356824242345051 0.6341376887541095 0.7111136716076557 
350 0.15586181367043805 0.6048111194716053 0.7598676419366079 0.4554159795297402 0.5886658106319022 0.6692583024357901 
363 0.3534380004345379 0.45294516178192523 0.46198799916376015 0.3843809900165928 0.5429084312581388 0.5182907224274365 
37 0.4002004760058188 0.5857371531558748 0.4390445945748978 0.5808965605415505 0.7901568594576192 0.5665296035078792 
403 0.09444188589754302 0.5833096086680992 0.5087104771453941 0.2625234175406341 0.8583945081759353 0.4746074069771833 
418 0.2481889575311283 0.47777047894323393 0.3996698953875831 0.7156920733535442 0.7865405218381121 0.4305568663763013 
428 0.5223696469750937 0.9891391027391022 0.9881920021273041 0.8687247661037617 0.9835026779218166 0.801761275041448 
465 0.2270308477280473 0.7259237536656893 0.5642289562289562 0.7450505050505052 0.46157126823793476 0.3571583034349588 
476 0.253393010219706 0.7133333333333334 0.6670033670033669 0.8172582972582972 0.4766942148760329 0.6094949494949495 
528 0.18596298191665453 0.7704514533085962 0.8513131313131312 0.4474451454078983 0.7838841175468869 0.8592566465657832 
529 0.4427735861867755 0.7706836762231947 0.5763222898721063 0.3102613345834389 0.8530606565739001 0.6363911245551176 
537 0.7147862508478682 0.6754743747074449 0.7141090661175327 0.665765153524736 0.5937188109309322 0.576080515683515 
538 0.11862393923493972 0.5567862980273449 0.7869039991609728 0.4824069739426812 0.9769216258624435 0.7087643278104011 
556 0.25257016605649374 0.5657195001435675 0.6107148500377333 0.34579757227440777 0.37327701389004075 0.5165714567804667 
561 0.4570711522912337 0.5827127570477324 0.3912442286489474 0.7310863016126179 0.8314862914862913 0.6311722682618268 
58 0.2462619927168248 0.6621515161576087 0.7762737751213116 0.3856879337999718 0.42827021221922584 0.940093425663052 
586 0.2382203321440171 0.6496231553683135 0.7178784163486843 0.4939409793263582 0.6479351488337258 0.519018219877028 
99 0.2286766850060066 0.9814390572390564 0.4833938025490573 0.818407376457722 0.8695654421927393 0.570708404222471 
