Topico,corrida_0,corrida_1,corrida_2,corrida_3,corrida_4,corrida_5
1,0.23464646464646463,0.29358585858585856,0.1629292929292929,0.3524747474747474,0.17979797979797973,0.29308080808080805
134,0.3256497175141243,0.2851129943502825,0.3105084745762712,0.5286158192090397,0.41403954802259896,0.44596045197740103
187,0.20811244979919674,0.30261044176706825,0.05879518072289151,0.16618473895582325,0.29622489959839354,0.21096385542168672
215,0.11535714285714282,0.12642857142857136,0.13535714285714287,0.18714285714285706,0.17446428571428568,0.1294642857142857
221,0.10394644935972057,0.42240977881257274,0.2536204889406286,0.3509080325960419,0.23292200232828864,0.3118044237485447
25,0.20731707317073167,0.29939024390243885,0.2030487804878048,0.19951219512195117,0.2214634146341463,0.27182926829268284
259,0.07758333333333332,0.10974999999999997,0.05116666666666664,0.15016666666666667,0.13674999999999998,0.07841666666666663
289,0.24185483870967736,0.2569354838709677,0.2739516129032258,0.189516129032258,0.2307258064516128,0.19161290322580643
350,0.15844827586206894,0.334655172413793,0.4303448275862069,0.31103448275862067,0.28862068965517246,0.33775862068965506
363,0.21333333333333332,0.2017412935323383,0.19368159203980098,0.09592039800995021,0.13417910447761186,0.20999999999999996
37,0.28434782608695647,0.24186335403726703,0.18118012422360244,0.2507453416149068,0.28111801242236023,0.230807453416149
403,0.10391952309985093,0.2720119225037258,0.2380029806259314,0.1160208643815201,0.1323695976154992,0.11175856929955282
418,0.16799999999999998,0.22306666666666658,0.1143333333333333,0.21486666666666662,0.5327999999999999,0.17993333333333333
428,0.5151648351648351,0.8085714285714285,0.7849450549450548,0.734285714285714,0.8091208791208793,0.3432967032967033
465,0.18582677165354325,0.39165354330708657,0.3299212598425197,0.10740157480314959,0.11732283464566926,0.2506299212598425
476,0.1506,0.064,0.031,0.03200000000000001,0.037200000000000004,0.0604
528,0.16249999999999998,0.35499999999999987,0.3526666666666667,0.15583333333333324,0.3418333333333333,0.3587499999999999
529,0.31971264367816093,0.17379310344827587,0.163735632183908,0.169367816091954,0.19620689655172413,0.15459770114942523
537,0.363010752688172,0.3723655913978494,0.3025806451612903,0.25956989247311824,0.08526881720430106,0.33354838709677426
538,0.09837168141592915,0.29819469026548673,0.2862477876106194,0.2585663716814159,0.4167964601769913,0.33106194690265484
556,0.08088757396449701,0.05106508875739639,0.056331360946745485,0.0771005917159763,0.04698224852071005,0.06443786982248514
561,0.2938317757009346,0.07728971962616814,0.12411214953271026,0.04542056074766347,0.019158878504672894,0.03719626168224294
58,0.06539215686274505,0.18840336134453783,0.15257703081232488,0.10319327731092429,0.10886554621848737,0.09247899159663861
586,0.056346153846153796,0.10749999999999998,0.11651098901098898,0.11318681318681317,0.06296703296703292,0.12197802197802195
99,0.1396052631578947,0.3253947368421053,0.2347368421052631,0.26394736842105265,0.3351315789473685,0.2068421052631579
