Topico,corrida_0,corrida_1,corrida_2,corrida_3,corrida_4,corrida_5
1,0.13066666666666665,0.591,0.475,0.5210000000000001,0.14800000000000002,0.59075
134,0.09699999999999999,0.6509999999999999,0.284,0.5459999999999999,0.3122777777777778,0.3320000000000001
187,0.036000000000000004,0.037000000000000005,0.02,0.158,0.10366666666666667,0.037000000000000005
215,0.019000000000000003,0.43,0.4375,0.5399999999999999,0.525,0.475
221,0.04,0.8050000000000002,0.4800000000000001,0.7300000000000001,0.666,0.5499999999999999
25,0.026000000000000002,0.16899999999999996,0.199,0.15599999999999997,0.25,0.07933333333333334
259,0.0,0.027999999999999997,0.22,0.10157142857142856,0.11299999999999999,0.04299999999999999
289,0.146,0.40499999999999986,0.7510000000000001,0.4936666666666666,0.5303333333333333,0.5469999999999999
350,0.0030000000000000005,0.4769642857142857,0.6090000000000002,0.5404444444444445,0.4165714285714286,0.292
363,0.0,0.20399999999999996,0.48350000000000004,0.22099999999999997,0.13499999999999998,0.22000000000000003
37,0.005,0.14299999999999996,0.29744444444444446,0.191,0.011000000000000001,0.17299999999999996
403,0.07500000000000001,0.7679999999999998,0.677,0.2671984126984127,0.6609999999999999,0.43324999999999997
418,0.033,0.474,0.38299999999999995,0.5700000000000001,0.504,0.436
428,0.234,0.9000000000000005,0.9000000000000005,0.9110000000000004,0.807,0.8420000000000002
465,0.06199999999999999,0.25299999999999995,0.24433333333333335,0.09099999999999998,0.08800000000000001,0.131
476,0.0,0.25577777777777777,0.07999999999999999,0.10155555555555555,0.021,0.285
528,0.034,0.689,0.6260000000000001,0.3245952380952381,0.58,0.6400000000000001
529,0.037000000000000005,0.4113333333333333,0.24199999999999997,0.25299999999999995,0.37199999999999994,0.5293333333333332
537,0.08599999999999998,0.49400000000000005,0.5169999999999999,0.37450000000000006,0.5727857142857142,0.3719999999999999
538,0.143,0.68,0.711,0.511,0.7799999999999998,0.6630000000000001
556,0.0,0.2795714285714285,0.37799999999999995,0.11299999999999999,0.05199999999999999,0.43099999999999994
561,0.013000000000000003,0.1834285714285714,0.018000000000000002,0.129,0.009000000000000001,0.08599999999999998
58,0.10899999999999999,0.5539999999999999,0.69,0.06299999999999999,0.12299999999999998,0.7060000000000001
586,0.013000000000000003,0.4129999999999999,0.37588888888888883,0.3668888888888888,0.415920634920635,0.48700000000000004
99,0.0,0.7989999999999998,0.45299999999999996,0.6589999999999999,0.8690000000000003,0.513
